"","Glioma","Myeloid","Oligo","Pericytes","TCells","Endo"
"TCGA-CS-5396-01A-02R-1470-07",0.775177406832122,0.0164242047590216,0.126258452642064,0.0349018497907092,6.86279657305342e-05,0.0471694580103538
"TCGA-CS-6668-01A-11R-1896-07",0.890220448511288,0.00354751508213503,0.0522898558750372,0.0129728237098401,0.000373588737092196,0.0405957680846071
"TCGA-DB-5274-01A-01R-1470-07",0.824876947941971,0.0341332162448165,0.0372466023563465,0.0284091509183496,0.00304804724032027,0.0722860352981962
"TCGA-DB-5278-01A-01R-1470-07",0.671750511056855,0.0186349554900055,0.17637098895395,0.0666387289179339,0.00110288771893636,0.0655019278623194
"TCGA-DB-5279-01A-03R-2347-07",0.728873162703773,0.0157344586446501,0.102909198898302,0.0544329237439717,0.0034594620754461,0.0945907939338575
"TCGA-DB-A4XG-01A-11R-A27Q-07",0.840917087859122,0.00448031234145582,0.058255690891104,0.0361635500979971,0.00112419031636769,0.0590591684939528
"TCGA-DB-A4XH-01A-11R-A27Q-07",0.606588229180569,0.00583956144229298,0.227214992935341,0.0573875630937147,0.000772369493125013,0.102197283854958
"TCGA-DB-A64L-01A-11R-A29R-07",0.727163496774424,0.0255080253884542,0.111458019348431,0.04975734530295,0.005952901164989,0.0801602120207522
"TCGA-DB-A64P-01A-11R-A29R-07",0.666550144238948,0.0287613596837095,0.142590556381845,0.0535235117079621,0.000233016363148253,0.108341411624387
"TCGA-DB-A64Q-01A-11R-A29R-07",0.728403079591139,0.0205672942036445,0.137101318774409,0.0564516119396097,1.72285298587546e-06,0.0574749726382125
"TCGA-DB-A64R-01A-11R-A29R-07",0.832285146678407,0.00941900721248351,0.0713441120497975,0.0323946028147125,0.00078980581809571,0.0537673254265036
"TCGA-DB-A64U-01A-11R-A29R-07",0.496642856632874,0.0196645030385087,0.383956081943102,0.0368877185828429,3.94878793845942e-06,0.0628448910147336
"TCGA-DB-A64V-01A-11R-A29R-07",0.365952629747902,0.0975920897500582,0.405233526585887,0.0526432459547529,0.00180689970592181,0.0767716082554784
"TCGA-DB-A64W-01A-11R-A29R-07",0.821679403663722,0.00264246578782598,0.0977779662892515,0.0283889761325269,0.0026872438421045,0.0468239442845686
"TCGA-DB-A75K-01A-11R-A32Q-07",0.652326757041569,0.0533893565186855,0.142741648998864,0.0419043926985398,0.000524196369373665,0.109113648372969
"TCGA-DH-5141-01A-01R-1470-07",0.669371950040478,0.0173895273384185,0.156225288178646,0.0570660269052737,9.48867241579362e-05,0.0998523208130256
"TCGA-DH-5144-01A-01R-1470-07",0.864460287799897,0.0123607234848426,0.0370927995897004,0.0308477156194109,0.000529856491020032,0.0547086170151289
"TCGA-DH-A66F-01A-11R-A29R-07",0.703187029910177,0.0102639841103571,0.139275446123886,0.0648897367081097,0.000533587331202888,0.0818502158162675
"TCGA-DH-A7UR-01A-11R-A33Z-07",0.751144091969245,0.00561573824704838,0.0599405473213627,0.0558748863934585,0.00313787695726272,0.124286859111623
"TCGA-DU-5849-01A-11R-1708-07",0.551689538865565,0.0185611169916331,0.29330075016256,0.0602372469670463,0.00301384511403859,0.0731975018991571
"TCGA-DU-5874-01A-11R-1708-07",0.894153366875435,0.0050218662117016,0.0175698431397647,0.0235652636639775,0.000924047858032134,0.0587656122510895
"TCGA-DU-6394-01A-11R-1708-07",0.836313884639945,0.0126261370236619,0.0352656855959781,0.0300115339955937,0.000368646921514189,0.0854141118233077
"TCGA-DU-6410-01A-11R-1896-07",0.922705098188091,0.000636796339157049,0.0175983375946508,0.0233118512622733,0.000794797241560912,0.0349531193742672
"TCGA-DU-7009-01A-11R-2027-07",0.679125901035835,0.00815607274528592,0.223420269170253,0.0289776693820881,0.0010316023955022,0.0592884852710357
"TCGA-DU-7018-01A-11R-2027-07",0.880398128165019,0.00218354517260479,0.0147119012690838,0.0293466092461659,0.000625643161094938,0.0727341729860318
"TCGA-DU-7294-01A-11R-2027-07",0.771342881565917,0.0100510131169906,0.132556546243793,0.0272517456408394,0.000385036834071238,0.0584127765983884
"TCGA-DU-7300-01A-21R-2090-07",0.612308931356306,0.026768797204545,0.213868271191705,0.0650402159629345,0.00359447859153269,0.0784193056929777
"TCGA-DU-7302-01A-11R-2090-07",0.756572013910274,0.0101962361055834,0.127245217860493,0.0483889073122674,0.00242655219998554,0.0551710726113966
"TCGA-DU-8164-01A-11R-2256-07",0.818944677400277,0.00771193623915701,0.0837083004790118,0.0347570607322236,0.00079393012890433,0.0540840950204252
"TCGA-DU-8168-01A-11R-2256-07",0.897507315481714,0.00556480040792475,0.0340413396957271,0.0200492984278262,0.00140604767975517,0.0414311983070528
"TCGA-DU-A6S2-01A-21R-A32Q-07",0.616067372455742,0.0104056674094251,0.252360094063762,0.0406565203484715,0.00363754774830448,0.0768727979742945
"TCGA-DU-A6S3-01A-12R-A32Q-07",0.757035809228415,0.00582279418530037,0.145410203115094,0.0341341741791543,0.00394498182501127,0.0536520374670246
"TCGA-DU-A6S6-01A-21R-A32Q-07",0.756844059127002,0.00719202821629938,0.130017895008315,0.0482352152443879,0.00508876760264906,0.0526220348013466
"TCGA-DU-A6S8-01A-12R-A32Q-07",0.852113593681433,0.010359052867205,0.0672017733728741,0.0260309574560751,0.00114541982979392,0.0431492027926186
"TCGA-DU-A76R-01A-11R-A32Q-07",0.659668755656145,0.0213014807793429,0.137307884449923,0.0763302447063931,0.00160989092595783,0.103781743482239
"TCGA-DU-A7T6-01A-11R-A33Z-07",0.75873790514134,0.0148911417693024,0.107758818558199,0.0554440685318916,0.00222534296864816,0.0609427230306181
"TCGA-E1-5318-01A-01R-1470-07",0.832889042593423,0.011382048488176,0.00453209148758802,0.0390386624365806,0.000178487921308888,0.111979667072924
"TCGA-E1-5319-01A-01R-1896-07",0.499933654519597,0.0146954414621505,0.322596545602067,0.0523414837674203,0.000203831071848811,0.110229043576917
"TCGA-E1-A7YO-01A-11R-A34F-07",0.731892836885379,0.00759006033620606,0.093803341760798,0.0597838497323197,0.00111535760359329,0.105814553681704
"TCGA-EZ-7264-01A-11R-2027-07",0.849522012402563,0.00585283886012429,0.075849498027317,0.0288795206462328,0.000203506762149349,0.0396926233016137
"TCGA-F6-A8O3-01A-11R-A36H-07",0.882884556168065,0.00564089588686832,0.0370746760889298,0.0234050362536187,0.000570925599603206,0.0504239100029148
"TCGA-FG-7634-01A-11R-2090-07",0.565727984626429,0.0683277660602698,0.178115371310864,0.0732636061731945,0.000575308449999446,0.113989963379243
"TCGA-FG-7638-01B-12R-2090-07",0.618995633359505,0.0143589753928709,0.194814456855175,0.0881733602233554,0.00118057262424002,0.0824770015448539
"TCGA-FG-7641-01B-11R-2256-07",0.605307575681447,0.00527750219929232,0.279680288185681,0.0541030810257275,0.00252423888788656,0.0531073140199661
"TCGA-FG-8186-01A-11R-2256-07",0.64130189864122,0.0613776180359248,0.145700094442856,0.0593860954315795,0.000756419806917974,0.0914778736415018
"TCGA-FG-8187-01A-11R-2256-07",0.331318522236428,0.0354926092512913,0.512144114042666,0.0455258904274631,0.000448242040880993,0.0750706220012702
"TCGA-FG-A60K-01A-11R-A29R-07",0.717112630949326,0.0292128439052852,0.114930683760502,0.0654460958310781,0.000240159144048845,0.0730575864097599
"TCGA-FG-A710-01A-12R-A33Z-07",0.672893197827789,0.0950186135040047,0.0902580186422673,0.0619054509749477,0.00182066828025235,0.0781040507707395
"TCGA-FG-A713-01A-11R-A32Q-07",0.593581205461842,0.00981707565092933,0.289604003595814,0.0481103814646413,0.00558131175402269,0.0533060220727501
"TCGA-HT-7480-01A-11R-2090-07",0.708695785709343,0.0123821499493273,0.155801927449256,0.0526882385670625,0.00124016354061992,0.0691917347843911
"TCGA-HT-7481-01A-11R-2027-07",0.441040151109994,0.0091579553491236,0.432086448005305,0.0465515695603281,0.000714294216911761,0.0704495817583369
"TCGA-HT-7605-01A-11R-2090-07",0.528114445188767,0.0184558332644343,0.317889816255226,0.0684239945825009,0.0027422556834784,0.0643736550255937
