"sample","h-microglia","Glioma","i-microglia","Oligo","Pericytes","Myeloid","s-mac 1","AP-microglia","MDSC","a-microglia","Endo","CD8 TCells","TCells","s-mac 2","Proliferating","otherCells"
"TCGA-CS-5396-01A-02R-1470-07",0.000106299316144226,0.415423378382051,0.000732376834667096,0.163074762404672,3.4271575995045e-05,1.71769595719957e-05,0.000330034977619481,7.16475869283619e-06,0.00268463881357077,0.000327434871982721,2.26256624810646e-05,7.95276343147114e-08,0.00751851167849381,0.000209340801000922,4.33754489063425e-05,0.409468527986516
"TCGA-CS-6668-01A-11R-1896-07",1.30879338769002e-05,0.571809985201247,5.6466669606724e-05,8.33905370319759e-05,0.000104816924963927,0.000193024609192708,2.23718434454923e-05,2.91961499326834e-07,0.000161817314018211,0.000161187657687021,6.52677281026647e-05,0.000245998065406179,0.000850761835667919,5.57628458672963e-05,0.00397363475318577,0.422202134119201
"TCGA-DB-5274-01A-01R-1470-07",0.097567382226777,0.773687193276777,4.14884163822559e-05,0.000217780239065319,8.23218731156814e-05,9.7020652736107e-05,9.11717765484867e-05,0.000909356101878554,1.18281149691997e-05,1.13449722834813e-05,0.0699708241830156,0.00609266322898374,0.000980791493988472,3.28699973140784e-05,1.33000672331402e-07,0.0502058304454929
"TCGA-DB-5278-01A-01R-1470-07",0.000368700940184404,0.301666328313812,9.31485576082766e-05,0.124943795242298,0.114517509677325,0.000267609556573196,0.000123927092083008,1.66676329347702e-05,0.000164580511576456,0.000122412435553653,3.18617745725217e-05,1.55147192004315e-07,0.00113296577854643,0.000262733097914043,5.15739773681656e-06,0.45628244684409
"TCGA-DB-5279-01A-03R-2347-07",3.22237221426952e-07,0.173910522127762,6.38427568730482e-05,0.0641329238511246,0.228364898775254,2.4598118227077e-05,4.60756754622104e-06,2.79469281237059e-05,3.66872034845615e-05,2.84406129947754e-05,0.0177714917407998,3.94582058035999e-05,0.0240369521097979,9.09223036573331e-06,5.62926855605161e-06,0.491542586266065
"TCGA-DB-A4XG-01A-11R-A27Q-07",0.000445093605157908,0.517492548363993,3.24410813095241e-05,0.00197401789210658,0.0384524992654703,0.00020300544553511,9.9511947390315e-07,0.000229698973470087,6.29403278561368e-05,0.000142334206459003,1.01840769842958e-06,1.84272200206159e-05,0.00110086405453258,0.000280436206570024,0.0001306520892853,0.439433027741062
"TCGA-DB-A4XH-01A-11R-A27Q-07",7.46829663691824e-05,0.314211848984002,4.97387304555549e-09,0.171631976100657,0.088096786136995,5.70789490097302e-05,3.58508633762868e-05,4.70099347177141e-05,0.000177236017756424,2.89070103042656e-05,0.00181522162988563,4.9423746814912e-07,0.000194112180591552,5.88047612529524e-05,3.64872331026424e-05,0.423533498020638
"TCGA-DB-A64L-01A-11R-A29R-07",4.05223782015501e-05,0.310790863594648,3.81439500869684e-05,0.0470992769129881,0.093142559036551,1.37600175474202e-05,9.69666797977733e-08,2.91690267663232e-05,2.84748610870866e-06,2.18741221199969e-06,0.00212530643838821,1.53626640813369e-07,0.0430371603167635,0.0001128919351,2.48902434693589e-06,0.503562571876971
"TCGA-DB-A64P-01A-11R-A29R-07",1.64565799162959e-05,0.29381890903551,4.59139898211008e-05,0.134657738329431,0.114442323218842,1.97194063505209e-05,3.52213875111631e-05,0.000136309666445283,4.00738770067064e-05,0.00012932990415285,0.0120136910904164,1.39014765905182e-07,0.000111589209952543,1.06794624776334e-08,8.08930756399982e-05,0.444451681534776
"TCGA-DB-A64Q-01A-11R-A29R-07",1.7374291987734e-05,0.256302661451832,5.28545281064189e-06,0.118767043663095,0.13664650253211,2.19141079374192e-08,0.00060552168730023,3.76303591725348e-05,0.000208529514014229,0.000323680072861466,7.30913205465569e-05,0.00059428453559107,0.00177643333358548,0.000196703360906118,0.000289473370614056,0.484155763139464
"TCGA-DB-A64R-01A-11R-A29R-07",6.18503590722006e-05,0.493492292567737,2.46706509399815e-06,0.00570991686350942,0.0362068761015086,2.03331760051368e-05,0.000119776288945487,0.000438571005788023,8.19859532493936e-05,4.9254662868551e-05,6.11060123670638e-05,1.25134317795164e-07,0.00181779765589706,3.72250158363263e-06,0.000110331808630865,0.461823592843426
