"sample","StromalScore","ImmuneScore","ESTIMATEScore"
"TCGA.CS.5396.01A.02R.1470.07",-663.069078117709,-900.714899782752,-1563.78397790046
"TCGA.CS.6668.01A.11R.1896.07",-1565.1531157033,-1516.75897074014,-3081.91208644344
"TCGA.DB.5274.01A.01R.1470.07",-604.478447704284,-443.603081696208,-1048.08152940049
"TCGA.DB.5278.01A.01R.1470.07",-936.129180876699,-1143.59273574668,-2079.72191662338
"TCGA.DB.5279.01A.03R.2347.07",-1006.84928998141,-1035.29058625894,-2042.13987624035
"TCGA.DB.A4XG.01A.11R.A27Q.07",-1553.49383781437,-1699.33695902312,-3252.83079683749
"TCGA.DB.A4XH.01A.11R.A27Q.07",-1234.36249729206,-1540.36217672263,-2774.72467401469
"TCGA.DB.A64L.01A.11R.A29R.07",-1266.8347455894,-956.19014545161,-2223.02489104101
"TCGA.DB.A64P.01A.11R.A29R.07",-869.239775583076,-909.445736371249,-1778.68551195432
"TCGA.DB.A64Q.01A.11R.A29R.07",-1327.81108760449,-1150.94280874213,-2478.75389634662
"TCGA.DB.A64R.01A.11R.A29R.07",-1361.59154727764,-1521.39026414828,-2882.98181142593
"TCGA.DB.A64U.01A.11R.A29R.07",-1153.33523428351,-1177.22571343113,-2330.56094771464
"TCGA.DB.A64V.01A.11R.A29R.07",-505.86371267522,24.7996491951452,-481.064063480075
"TCGA.DB.A64W.01A.11R.A29R.07",-1617.55180320064,-2001.2961354468,-3618.84793864745
"TCGA.DB.A75K.01A.11R.A32Q.07",-690.587697736741,-334.875559240935,-1025.46325697768
"TCGA.DH.5141.01A.01R.1470.07",-995.866277869759,-992.456265359174,-1988.32254322893
"TCGA.DH.5144.01A.01R.1470.07",-1320.11641982378,-1232.49809162687,-2552.61451145065
"TCGA.DH.A66F.01A.11R.A29R.07",-1215.31622016506,-1267.01647008207,-2482.33269024714
"TCGA.DH.A7UR.01A.11R.A33Z.07",-1085.21268246897,-1538.68108727806,-2623.89376974703
"TCGA.DU.5849.01A.11R.1708.07",-1130.29816741722,-1207.99008159418,-2338.2882490114
"TCGA.DU.5874.01A.11R.1708.07",-1302.66634497475,-1547.97137975513,-2850.63772472988
"TCGA.DU.6394.01A.11R.1708.07",-1089.48132215202,-1019.95979535137,-2109.44111750338
"TCGA.DU.6410.01A.11R.1896.07",-1420.69749893986,-1769.95281056916,-3190.65030950902
"TCGA.DU.7009.01A.11R.2027.07",-1351.32634974962,-1517.48441274648,-2868.8107624961
"TCGA.DU.7018.01A.11R.2027.07",-1236.58729095236,-1512.06621437806,-2748.65350533042
"TCGA.DU.7294.01A.11R.2027.07",-1143.81242647622,-1201.03558622283,-2344.84801269904
"TCGA.DU.7300.01A.21R.2090.07",-761.833133145425,-1065.43850645791,-1827.27163960333
"TCGA.DU.7302.01A.11R.2090.07",-1327.80973710158,-1507.01433510878,-2834.82407221036
"TCGA.DU.8164.01A.11R.2256.07",-1334.89075760699,-1513.35457159835,-2848.24532920534
"TCGA.DU.8168.01A.11R.2256.07",-1520.03417591685,-1501.67673490923,-3021.71091082607
"TCGA.DU.A6S2.01A.21R.A32Q.07",-1344.67112240792,-1351.06452755075,-2695.73564995867
