"sample","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-CS-5396-01A-02R-1470-07",0.0806312833499341,0,0.0219994385364528,0.00209101321200612,0.0111045645188864,0.117084483021723,0,0,0.0445736154835353,0.152096840339979,0.570418761537483
"TCGA-CS-6668-01A-11R-1896-07",0.078879723862445,0,0,0.111845913983088,0,0.106152865153721,0,0,0.0248575456738359,0.0475047296640343,0.630759221662877
"TCGA-DB-5274-01A-01R-1470-07",0.0396384545905651,0,0.0118886902413374,0.110692289440608,0,0.0724001392631706,0,0,0.0160878981171686,0.0468960709076899,0.702396457439461
"TCGA-DB-5278-01A-01R-1470-07",0.0508518635387575,0,0,0.113213618354897,0,0.197598364314562,0,0,0,0.170589410660536,0.467746743131248
"TCGA-DB-5279-01A-03R-2347-07",0.0287392959447945,0,0,0.097680037472348,0,0.165883352256525,0,0,0,0.11956383130846,0.588133483017872
"TCGA-DB-A4XG-01A-11R-A27Q-07",0.0564893261035663,0,0,0.0679993856101075,0,0.170254858233147,0,0,0.0249068630639132,0.136796643307669,0.543552923681597
"TCGA-DB-A4XH-01A-11R-A27Q-07",0.0442005396049494,0,0,0.142793563618921,0,0.197306085956572,0,0,0.00429466515793836,0.116103866247635,0.495301279413984
"TCGA-DB-A64L-01A-11R-A29R-07",0.0527269762451063,0,0,0.224088908948469,0,0.146650368970717,0,0,0.00765963070455393,0.0637780174342065,0.505096097696947
"TCGA-DB-A64P-01A-11R-A29R-07",0.0415994534110603,0,0.00204907468696856,0.0652966503101459,0,0.114835884637112,0,0,0.022467540828209,0.191056883052717,0.562694513073787
"TCGA-DB-A64Q-01A-11R-A29R-07",0.0393197478712444,0,0,0.051388634911603,0,0.1798583287994,0,0,0,0.205222244928449,0.524211043489304
"TCGA-DB-A64R-01A-11R-A29R-07",0.0491508247748358,0,0,0.0980045239976368,0,0.171806259816724,0,0,0.0229274903890361,0.126142681518113,0.531968219503654
"TCGA-DB-A64U-01A-11R-A29R-07",0.0400409056988144,0,0,0.0785148269686769,0,0.171775940092106,0,0,0.00585317435563235,0.208844186381507,0.494970966503264
"TCGA-DB-A64V-01A-11R-A29R-07",0.0287424205390484,0,0.0282258046816262,0.1215813280351,0,0.119941877660044,0,0,0,0.176039503803026,0.525469065281156
"TCGA-DB-A64W-01A-11R-A29R-07",0.0623073641115549,0,0,0.22707281509788,0,0.146657664959968,0,0,0.0561641953100022,0.0582342140728144,0.449563746447781
"TCGA-DB-A75K-01A-11R-A32Q-07",0.0266942754094047,0.0019657677770484,0,0.119665612623813,0,0.153524900967275,0,0,0.0227141475858709,0.113501912925941,0.561933382710647
"TCGA-DH-5141-01A-01R-1470-07",0.0350101820593924,0,0.00986694279274867,0.0312738603567664,0,0.134151175971411,0,0,0,0.178341454708919,0.611356384110762
"TCGA-DH-5144-01A-01R-1470-07",0.0544861265771656,0,0.00438802786400524,0.0342176738944095,0,0.10290964177782,0,0,0.0139535240182986,0.152612588412861,0.637432417455441
"TCGA-DH-A66F-01A-11R-A29R-07",0.0260468194248098,0,0.000588039528697873,0.0203683763081454,0,0.154993198155569,0,0,0,0.186816464981,0.611187101601777
"TCGA-DH-A7UR-01A-11R-A33Z-07",0.0470426852507099,0,0.0165577660938033,0.00328685579019274,0,0.123293650823257,0,0,0.0358202617138214,0.240317628561414,0.533681151766801
"TCGA-DU-5849-01A-11R-1708-07",0.0409317450777,0,0,0.283225302753791,0,0.164535843279627,0,0,0.00656160830664604,0.0791900500968088,0.425555450485428
"TCGA-DU-5874-01A-11R-1708-07",0.0621987002509301,0,0.0024259723224786,0.0558811938747151,0,0.106352394988044,0,0,0.0379904819214372,0.11591135534182,0.619239901300575
"TCGA-DU-6394-01A-11R-1708-07",0.0494438805308728,0.0145351032704833,0.000977920909348944,0.0123307246259399,0,0.0961894562660641,0,0,0.0379133006839607,0.171841738728969,0.616767874984361
"TCGA-DU-6410-01A-11R-1896-07",0.0739154178453053,0,0,0.127563537396002,0,0.144991327683021,0,0,0.0358544990201145,0.0633283813554814,0.554346836700075
"TCGA-DU-7009-01A-11R-2027-07",0.0519987352000487,0,0,0.134705800820956,0,0.160755774411143,0,0,0.0107995117236231,0.144090184992199,0.49764999285203
"TCGA-DU-7018-01A-11R-2027-07",0.0558346081540421,0,0,0.0138228027980875,0,0.136385612572645,0,0,0.0532129086495753,0.183152681894699,0.557591385930951
"TCGA-DU-7294-01A-11R-2027-07",0.0549937041511032,0,0,0.0721980759326539,0,0.153109815324316,0,0,0.0225538446106865,0.170096141230147,0.527048418751094
"TCGA-DU-7300-01A-21R-2090-07",0.0571999171309261,0,0,0.272006127919962,0,0.154204836600792,0,0,0.00635743217777117,0.0886366984785138,0.421594987692035
"TCGA-DU-7302-01A-11R-2090-07",0.0702216551131858,0,0,0.300839336521793,0,0.165657689934325,0,0,0.02867342606203,0.0574084508790981,0.377199441489568
"TCGA-DU-8164-01A-11R-2256-07",0.0646985018440862,0,0,0.0857737688905137,0,0.168053825838149,0,0,0.013968174315225,0.18782783582265,0.479677893289376
"TCGA-DU-8168-01A-11R-2256-07",0.0653273899052439,0,0,0.0925452604707369,0,0.135256443174431,0,0,0.0664928542049523,0.120711024479966,0.51966702776467
"TCGA-DU-A6S2-01A-21R-A32Q-07",0.057547314643831,0,0,0.345799154450741,0,0.204093208102632,0,0,0.025279511771665,0.00463080031162994,0.362650010719501
"TCGA-DU-A6S3-01A-12R-A32Q-07",0.0445158855901353,0,0,0.211242086747657,0,0.160513862243905,0,0,0.017382116266,0.0518402132197498,0.514505835932553
"TCGA-DU-A6S6-01A-21R-A32Q-07",0.0471648643582004,0,0,0.269614105234964,0,0.253795003651627,0,0,0,0.0668059667289283,0.36262006002628
"TCGA-DU-A6S8-01A-12R-A32Q-07",0.0453053308321696,0,0,0.108642490017431,0,0.0999773595633066,0,0,0.0407116795675738,0.060842112879258,0.644521027140261
"TCGA-DU-A76R-01A-11R-A32Q-07",0.037466632439003,0,0.023607630524148,0.043628920815,0,0.184056303677908,0,0,0,0.177092891657275,0.534147620886666
"TCGA-DU-A7T6-01A-11R-A33Z-07",0.025519696187832,0,0,0.0905974232767028,0,0.138989057287578,0.1208325294056,0,0.0398600531111567,0.142566512345397,0.441634728385733
