"","Myeloid","Glioma","Oligo","Pericytes","TCells","Endo"
"TCGA-CS-5396-01A-02R-1470-07",3.8383356014834e-06,0.666946191268567,0.269143811962687,0.022670865171876,6.51986731269717e-05,0.0411700945881422
"TCGA-CS-6668-01A-11R-1896-07",0.000762778141867486,0.911949869757477,0.0535662007479407,0.00610829657365138,7.20028571176812e-06,0.0276056544933512
"TCGA-DB-5274-01A-01R-1470-07",0.0402154393383076,0.514961702600519,0.0438836020278983,0.0334713985701015,0.219274351088077,0.148193506375096
"TCGA-DB-5278-01A-01R-1470-07",0.00281106882469054,0.60378358182316,0.26980046178341,0.0578215208694686,3.04736100644541e-09,0.0657833636519105
"TCGA-DB-5279-01A-03R-2347-07",0.00237836625358415,0.546048922859091,0.233996984201303,0.0589601494083599,0.000137935795279251,0.158477641482382
"TCGA-DB-A4XG-01A-11R-A27Q-07",0.000332785742117573,0.863933134193951,0.059850159240214,0.0149712406448473,0.000237052014661478,0.0606756281642087
"TCGA-DB-A4XH-01A-11R-A27Q-07",0.00152599095090316,0.507394708888394,0.369450609498166,0.0203813081284793,1.44866806199803e-08,0.101247368047377
"TCGA-DB-A64L-01A-11R-A29R-07",0.0278473913942532,0.656022247104367,0.201675342970632,0.0240125453488281,0.000876942969643955,0.089565530212276
"TCGA-DB-A64P-01A-11R-A29R-07",0.0170911588340616,0.561615823092348,0.271671289919501,0.0376884552077801,1.70932774244248e-08,0.111933255853031
"TCGA-DB-A64Q-01A-11R-A29R-07",0.00275313262500723,0.615389895652072,0.266999994746381,0.0569124903331079,2.8076022083602e-07,0.0579442058832116
"TCGA-DB-A64R-01A-11R-A29R-07",0.00204204204653732,0.866048281711701,0.0742383135125788,0.0139340646340789,4.98811131874526e-05,0.0436874169819166
"TCGA-DB-A64U-01A-11R-A29R-07",0.00176021335428051,0.297568485404677,0.638183858718696,0.00629384026198986,2.18414652396312e-07,0.056193383845704
"TCGA-DB-A64V-01A-11R-A29R-07",0.0983225948005581,0.084442046336292,0.671813681695291,0.0530372958940784,0.000929990213492105,0.0914543910602881
"TCGA-DB-A64W-01A-11R-A29R-07",8.1913300642835e-08,0.81864625485973,0.123964530851509,0.00796352179894192,2.28944643742655e-08,0.0494255876820541
"TCGA-DB-A75K-01A-11R-A32Q-07",0.0324771751527756,0.3890390317041,0.38960991626554,0.0279494494629762,0.000545450520565879,0.160378976894043
"TCGA-DH-5141-01A-01R-1470-07",0.0184413158291256,0.501858516018293,0.313290739443854,0.0605176095240114,2.87669298330203e-08,0.105891790417786
"TCGA-DH-5144-01A-01R-1470-07",2.13285145278802e-07,0.897909006242235,0.0385280380005609,0.00673722070979325,5.43229654816529e-08,0.0568254674393005
"TCGA-DH-A66F-01A-11R-A29R-07",1.38828963498646e-07,0.550790067166606,0.301365758027902,0.0653779541398674,4.13278943976567e-08,0.0824660405087668
"TCGA-DH-A7UR-01A-11R-A33Z-07",0.00462650905317418,0.715498785851406,0.0726309943145731,0.0341136571060336,0.000806858156833138,0.17232319551798
"TCGA-DU-5849-01A-11R-1708-07",0.0104751292997313,0.38381748812752,0.475886423850948,0.052500577141455,0.000444771036137423,0.0768756105442083
"TCGA-DU-5874-01A-11R-1708-07",0.00147628009178046,0.907406866027964,0.017830270388366,0.0132391238958577,0.000410799915025838,0.0596366596810056
"TCGA-DU-6394-01A-11R-1708-07",0.000775388424829342,0.736937892066757,0.150278849212643,0.0258786421360225,1.36516695351215e-07,0.0861290916430532
"TCGA-DU-6410-01A-11R-1896-07",3.35321189734345e-06,0.944221090110833,0.0180087023908178,0.00197322212684182,2.54625210617504e-05,0.0357681696385479
"TCGA-DU-7009-01A-11R-2027-07",0.00181662350332909,0.5910444835618,0.344278382152686,0.00868366996955312,1.07890911494399e-06,0.0541757619035167
"TCGA-DU-7018-01A-11R-2027-07",0.000299346160819662,0.882907193232347,0.0147538290246836,0.00994813559066491,2.13088119071209e-07,0.092091282903366
"TCGA-DU-7294-01A-11R-2027-07",0.00130414783361497,0.771822466596915,0.147214693093458,0.0100542907556088,3.60055245168299e-07,0.0696040416651583
"TCGA-DU-7300-01A-21R-2090-07",0.018097167059454,0.527134909988594,0.350162354527627,0.0224830278177794,0.00119720305417436,0.0809253375523708
"TCGA-DU-7302-01A-11R-2090-07",0.00305477430615817,0.709539315666312,0.214749750346685,0.0196764529956134,2.84696293870069e-09,0.0529797038382682
"TCGA-DU-8164-01A-11R-2256-07",0.000695025334738584,0.860670910882202,0.0879733408248998,0.0115137817641109,7.35207202723467e-09,0.0391469338419764
"TCGA-DU-8168-01A-11R-2256-07",2.85924401104187e-08,0.926545265660022,0.0351427131430921,0.0144319556149087,4.27314028912858e-06,0.0238757638492483
"TCGA-DU-A6S2-01A-21R-A32Q-07",0.00208080015698767,0.375536958947841,0.522064049960414,0.0201407831991165,0.000587753873679406,0.079589653861962
"TCGA-DU-A6S3-01A-12R-A32Q-07",0.00069464107099881,0.761250716129716,0.176245494748963,0.00757077036810845,0.000287624698390394,0.0539507529838231
"TCGA-DU-A6S6-01A-21R-A32Q-07",0.00116007939850473,0.717681946041847,0.199826458071841,0.0226557819860495,9.79080855436305e-10,0.0586757335226775
"TCGA-DU-A6S8-01A-12R-A32Q-07",1.57691164910663e-06,0.8234595310625,0.122634669949856,0.0102292051424548,5.69637068273848e-08,0.0436749599698331
"TCGA-DU-A76R-01A-11R-A32Q-07",0.00323422701429312,0.541063624135005,0.25725869684871,0.0840989790447161,3.8403067182845e-08,0.114344434554209
"TCGA-DU-A7T6-01A-11R-A33Z-07",0.0112982912321841,0.685644788172145,0.200408585140766,0.0181798751056101,0.00105210718500043,0.0834163531642946
"TCGA-E1-5318-01A-01R-1470-07",0.011373141511472,0.73626071051642,0.0272229245073306,0.0225173577772797,5.31193087095726e-08,0.202625812568189
"TCGA-E1-5319-01A-01R-1896-07",0.00193131644916807,0.201135362891839,0.633968997111519,0.0524025686762009,0.000204068952045059,0.110357685919228
"TCGA-E1-A7YO-01A-11R-A34F-07",1.28451716883522e-08,0.710879471325325,0.128563075558304,0.031319009293409,2.54906184919374e-08,0.129238405487172
"TCGA-EZ-7264-01A-11R-2027-07",0.00124339015723334,0.853668178247963,0.105045268169262,0.0115361160108446,1.19911600053481e-08,0.028507035423537
"TCGA-F6-A8O3-01A-11R-A36H-07",0.00102826687259077,0.901194160340558,0.0378435451774978,0.00846428300092179,1.23899023354555e-07,0.0514696207094084
"TCGA-FG-7634-01A-11R-2090-07",0.0479980919854169,0.402774515549745,0.39394865843702,0.0422086253737696,0.000567800240966441,0.112502308413082
"TCGA-FG-7638-01B-12R-2090-07",0.00659283644278534,0.493116948415244,0.320460439734291,0.0929162657371116,1.36517115313649e-08,0.0869134960188566
"TCGA-FG-7641-01B-11R-2256-07",0.00101436577471527,0.465947723292623,0.459384175896738,0.0430453059901093,5.25271889574394e-08,0.0306083765186252
"TCGA-FG-8186-01A-11R-2256-07",0.0525140866664759,0.510704223205251,0.279122586938819,0.0618509151783981,0.000533525445986911,0.0952746625650694
"TCGA-FG-8187-01A-11R-2256-07",0.027704110798648,0.00515391312074582,0.875888600232311,0.0153589726537243,4.14981466851563e-07,0.0758939882131038
"TCGA-FG-A60K-01A-11R-A29R-07",0.0106394197359271,0.644610025166317,0.200204802322676,0.068301107257045,5.07082978116788e-09,0.0762446404472045
"TCGA-FG-A710-01A-12R-A33Z-07",0.0768442739578884,0.579866938261271,0.181644426743554,0.0626727870021807,0.00104269383371592,0.0979288802013908
"TCGA-FG-A713-01A-11R-A32Q-07",0.00189664820190071,0.277899784448775,0.654925177100239,0.0059426747465983,2.58591029760818e-08,0.0593356896433836
